Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
9ba0795a-4ff0-0305-1990-000000000001,,,Anasarca,Anasarca,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000002,,,"Bleeding, rectal","Bleeding, rectal",,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000003,,,"Crying, infant, excessive",,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000004,,,Blood in vomiting,,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000005,,,"Rash, nonvesicular, unspec.",,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000006,,,Something coming out of anus,,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000007,,,Somethingcoming out per vaginum,,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000008,,,Chief Complaint,Chief Complaint,,,,,Misc,Coded,,"Abdominal pain;Abdominal or Pelvic Swelling, Mass or Lump;Loss of Appetite;Anasarca;Anxiety State;Bleeding, rectal;Chest pain;Cleft Palate;Constipation;Convulsions;Cough;Crying, infant, excessive;Dental caries;Dysphagia;Localized Edema;Nasal haemorrhage;FTT (failure to thrive) in child;Malaise and Fatigue;Feeding Problem in Elderly;Feeding problems in newborn;Fever;Fracture of upper arm, open;Fracture of upper arm, closed;Bloating Symptom;Gingival and Periodontal Disease;Headache;Hearing Loss;Heartburn;Blood in vomiting;Other Specified Hemiplegia and Hemiparesis Affecting Unspecified Side;Hemoptysis;Hiccoughs;Vagal Hoarseness;Fertility Problem;Injury;Irregular menstrual cycle;Joint swelling;Localized Superficial Swelling, Mass, or Lump;Breast lump;Swelling;Malaise and Fatigue;Memory Loss;Altered Mental Status;Nausea and vomiting;Nausea Alone;Nocturia - Finding;Obstructed Labor, Antepartum;Chronic Pain due to Trauma;Knee pain;Backache symptom nos;Palpitations;Polyuria;Rash, nonvesicular, unspec.;Something coming out of anus;Complex Partial Seizure Evolving to Generalised Seizure;Simple partial seizure evolving to secondary generalized seizure;simple febrile seizure;Shortness of breath;Sickle-cell anemia;Somethingcoming out per vaginum;Stomatitis and Mucositis;Excessive Sweating;Throat pain;Ulcer of lower limb;Vomiting;Walking disability;Wheezing;",,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000009,,,Non-Coded Chief Complaint,Non-Coded Chief Complaint,,,,,Misc,Text,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000010,,,Duration,duration,The units which correspond to the numeric value entered for a duration,,,,Misc,Coded,,Seconds;Minutes;Hours;Days;Weeks;Months;Years;Number of occurrences,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000011,,,Chief Complaint Data,Chief Complaint,,,,,Concept Details,N/A,,,Chief Complaint;Duration,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000012,,,History Notes,History Notes,,,,,Misc,Text,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000013,,,Smoking History,Smoking History,desc Smoking History,,,,Misc,Boolean,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000014,,,Image,,,,,,Image,Complex,ImageUrlHandler,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000015,,,Consultation Images,,,,,,Misc,N/A,,,Image,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000016,,,Patient Video,,,,,,Video,Complex,VideoUrlHandler,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000017,,,"Hypertension, Previous Followup Location",Previous Followup Location,,,,,Misc,Text,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000018,,,No Previous Diagnosis,,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000019,,,Confirmed Elsewhere,,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000020,,,"Hypertension, Diagnosis Status",Diagnosis Status,,,,,Misc,Coded,,No Previous Diagnosis;Confirmed Elsewhere,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000021,,,"Hypertension, Date Confirmed",Date Confirmed,,,,,Misc,Date,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000022,,,"Hypertension, Hypertensive Emergency 12 Months",Hypertensive Emergency or Cardiac Hospitalization in 12 Months,,,,,Misc,Boolean,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000023,,,"Hypertension, Hypertensive Emergency Cause",Hypertensive Emergency or Cardiac Hospitalization For,,,,,Misc,Coded,,Hypertension;Congestive Heart Failure;Myocardial infarction;Chest pain;,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000024,,,"Hypertension, Hypertensive Emergency",Hypertensive Emergency,,,,,Misc,N/A,,,"Hypertension, Hypertensive Emergency 12 Months;Hypertension, Hypertensive Emergency Cause;",,,,,,,,
9ba0795a-4ff0-0305-1990-000000000025,,,"Hypertension, Lipids",Lipids,,,,,Misc,Text,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000026,,,"Hypertension, Primary Hypertension",Primary / Essential Hypertension," Poorly understood mechanism, but risk factors above ",,,,Misc,Text,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000027,,,Primary Renal Disease,,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000028,,,Pain Due To Other Illness,,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000029,,,Endocrine Hypothyroidism,,,,,,Misc,N/A,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000030,,,"Hypertension, Secondary Hypertension",Secondary Hypertension,,,,,Misc,Coded,,Primary Renal Disease;Obstructive Sleep Apnea Syndrome;Poisoning by Oral Contraceptive;Drug-induced;Pain Due To Other Illness;Endocrine Hypothyroidism;Hyperthyroidism;Hyperparathyroidism;Coarctation of Aorta;Renovascular Hypertension;,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000031,,,"Hypertension, Alcohol Abuse",Alcohol Abuse,,,,,Misc,Boolean,,,,,,,,,,,
9ba0795a-4ff0-0305-1990-000000000032,,,"Hypertension, Alcohol Abuse Details",Alcohol Abuse Details,,,,,Misc,Text,,,,,,,,,,,
